Spawner Initialization file,Steelhead at Clear Creek,"Developed by SFR, 30 Aug 2013",,,,,,
Guestimates for Upper Alluvial and Canyon sites,Temperature data available only for 2000-2011,,,,,,,
Year,Arrival reach,Number of spawners,Fraction female,Arrival start date,Arrival end date,Arrival ratio,Female length mean,Female length SD
2000,DogGulch,20,1.0,11/15/1999,3/31/2000,0.0001,40,5
2001,DogGulch,20,1.0,11/15/2000,3/31/2001,0.0001,40,5
2002,DogGulch,20,1.0,11/15/2001,3/31/2002,0.0001,40,5
2003,DogGulch,20,1.0,11/15/2002,3/31/2003,0.0001,40,5
2004,DogGulch,20,1.0,11/15/2003,3/31/2004,0.0001,40,5
2005,DogGulch,20,1.0,11/15/2004,3/31/2005,0.0001,40,5
2006,DogGulch,20,1.0,11/15/2005,3/31/2006,0.0001,40,5
2007,DogGulch,20,1.0,11/15/2006,3/31/2007,0.0001,40,5
2008,DogGulch,20,1.0,11/15/2007,3/31/2008,0.0001,40,5
2009,DogGulch,20,1.0,11/15/2008,3/31/2009,0.0001,40,5
2010,DogGulch,20,1.0,11/15/2009,3/31/2010,0.0001,40,5
2011,DogGulch,20,1.0,11/15/2010,3/31/2011,0.0001,40,5
2000,SpawnArea4,15,1.0,11/15/1999,3/31/2000,0.0001,40,5
2001,SpawnArea4,15,1.0,11/15/2000,3/31/2001,0.0001,40,5
2002,SpawnArea4,15,1.0,11/15/2001,3/31/2002,0.0001,40,5
2003,SpawnArea4,15,1.0,11/15/2002,3/31/2003,0.0001,40,5
2004,SpawnArea4,15,1.0,11/15/2003,3/31/2004,0.0001,40,5
2005,SpawnArea4,15,1.0,11/15/2004,3/31/2005,0.0001,40,5
2006,SpawnArea4,15,1.0,11/15/2005,3/31/2006,0.0001,40,5
2007,SpawnArea4,15,1.0,11/15/2006,3/31/2007,0.0001,40,5
2008,SpawnArea4,15,1.0,11/15/2007,3/31/2008,0.0001,40,5
2009,SpawnArea4,15,1.0,11/15/2008,3/31/2009,0.0001,40,5
2010,SpawnArea4,15,1.0,11/15/2009,3/31/2010,0.0001,40,5
2011,SpawnArea4,15,1.0,11/15/2010,3/31/2011,0.0001,40,5
2000,Kanaka,5,1.0,11/15/1999,3/31/2000,0.0001,40,5
2001,Kanaka,5,1.0,11/15/2000,3/31/2001,0.0001,40,5
2002,Kanaka,5,1.0,11/15/2001,3/31/2002,0.0001,40,5
2003,Kanaka,5,1.0,11/15/2002,3/31/2003,0.0001,40,5
2004,Kanaka,5,1.0,11/15/2003,3/31/2004,0.0001,40,5
2005,Kanaka,5,1.0,11/15/2004,3/31/2005,0.0001,40,5
2006,Kanaka,5,1.0,11/15/2005,3/31/2006,0.0001,40,5
2007,Kanaka,5,1.0,11/15/2006,3/31/2007,0.0001,40,5
2008,Kanaka,5,1.0,11/15/2007,3/31/2008,0.0001,40,5
2009,Kanaka,5,1.0,11/15/2008,3/31/2009,0.0001,40,5
2010,Kanaka,5,1.0,11/15/2009,3/31/2010,0.0001,40,5
2011,Kanaka,5,1.0,11/15/2010,3/31/2011,0.0001,40,5
2000,AboveIgo,10,1.0,11/15/1999,3/31/2000,0.0001,40,5
2001,AboveIgo,10,1.0,11/15/2000,3/31/2001,0.0001,40,5
2002,AboveIgo,10,1.0,11/15/2001,3/31/2002,0.0001,40,5
2003,AboveIgo,10,1.0,11/15/2002,3/31/2003,0.0001,40,5
2004,AboveIgo,10,1.0,11/15/2003,3/31/2004,0.0001,40,5
2005,AboveIgo,10,1.0,11/15/2004,3/31/2005,0.0001,40,5
2006,AboveIgo,10,1.0,11/15/2005,3/31/2006,0.0001,40,5
2007,AboveIgo,10,1.0,11/15/2006,3/31/2007,0.0001,40,5
2008,AboveIgo,10,1.0,11/15/2007,3/31/2008,0.0001,40,5
2009,AboveIgo,10,1.0,11/15/2008,3/31/2009,0.0001,40,5
2010,AboveIgo,10,1.0,11/15/2009,3/31/2010,0.0001,40,5
2011,AboveIgo,10,1.0,11/15/2010,3/31/2011,0.0001,40,5
